s/n,epi_week,state,year,cases,deaths,cfr,suspected_cases,confirmed_cases,rainfall_mm,temperature_c,humidity_pct,rainfall_anomaly_mm,rainfall_zscore,heavy_rain_flag,extreme_rain_flag,rolling_4_rainfall_mm,reliefweb_flood_reports,basic_water_pct,safely_managed_water_pct,basic_sanitation_pct,safely_managed_sanitation_pct,open_defecation_pct,idp_population,returnee_population,displacement_round,displacement_data_age_days,health_facility_count,hospital_count,phc_count,epi_week_label,epi_week_start,epi_week_end,period_weeks,state_code,report_gap_weeks,date,month,quarter,rainy_season,lag_1_cases,lag_2_cases,lag_4_cases,lag_8_cases,lag_1_deaths,lag_1_cfr,lag_2_deaths,lag_2_cfr,lag_4_deaths,lag_4_cfr,rolling_4_cases,rolling_8_cases,rolling_4_deaths,rolling_4_cfr,risk_threshold_basis,risk_low_threshold,risk_high_threshold,risk_level
6,4,Benue,2025,3,0,0.0,3,,0.22,27.131785714285712,41.385,-3.4291666666666663,-0.43365999535647953,0,0,0.09499999999997155,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,2284.0,28.0,2020.0,1-4,1,4,4,6,0,2025-01-20,1,1,0,2.0,5.0,5.0,46.0,0.0,0.0,1.0,0.2,0.0,0.0,3.25,9.125,0.25,0.05,iqr_trimmed_quantiles,9.0,30.0,Low
34,9,Benue,2025,25,0,0.0,25,,4.72,29.932499999999997,38.573571428571434,-8.116500000000002,-0.5896807278641865,0,0,1.4349999999999432,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,2284.0,28.0,2020.0,6-9,6,9,4,6,1,2025-02-24,2,1,0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.75,0.25,0.05,iqr_trimmed_quantiles,9.0,30.0,Medium
567,29,Borno,2021,11,0,0.0,11,,32.57,27.52857142857143,73.55428571428571,-28.90000000000001,-0.4523162190260795,1,0,94.15,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,29,29,29,1,7,0,2021-07-19,7,3,1,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,Medium
559,30,Borno,2021,4,0,0.0,4,,67.43,26.185714285714287,79.76571428571428,40.734,1.6640042840367852,1,1,153.15,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,30,30,30,1,7,0,2021-07-26,7,3,1,11.0,,,,0.0,0.0,,,,,11.0,11.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
551,32,Borno,2021,7,0,0.0,7,,27.75,26.05,80.65142857142857,-9.814,-0.8269270456921582,0,0,162.73000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,32,32,32,1,7,1,2021-08-09,8,3,1,4.0,11.0,,,0.0,0.0,0.0,0.0,,,7.5,7.5,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
537,33,Borno,2021,30,4,0.1333,30,,15.34,26.857142857142858,75.96571428571428,-27.418000000000003,-1.702734819163243,0,0,145.5,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,33,33,33,1,7,0,2021-08-16,8,3,1,7.0,4.0,,,0.0,0.0,0.0,0.0,,,7.333333333333333,7.333333333333333,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
524,34,Borno,2021,67,4,0.0597,67,,13.11,27.95142857142857,70.81714285714285,-33.330000000000005,-1.452003523187414,0,0,91.18,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,34,34,34,1,7,0,2021-08-23,8,3,1,30.0,7.0,11.0,,4.0,0.1333,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.033325,iqr_trimmed_quantiles,9.0,30.0,High
500,35,Borno,2021,179,13,0.0726,179,,10.89,27.50714285714286,74.14857142857143,-15.746000000000002,-0.8605985824209638,0,0,67.09,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,35,35,35,1,7,0,2021-08-30,8,3,1,67.0,30.0,4.0,,4.0,0.0597,4.0,0.1333,0.0,0.0,27.0,23.8,2.0,0.04825,iqr_trimmed_quantiles,9.0,30.0,High
488,36,Borno,2021,106,1,0.0094,106,,24.36,27.25,74.28428571428572,-2.846,-0.2037510109858954,0,0,63.7,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,36,36,36,1,7,0,2021-09-06,9,3,1,179.0,67.0,7.0,,13.0,0.0726,4.0,0.0597,0.0,0.0,70.75,49.666666666666664,5.25,0.0664,iqr_trimmed_quantiles,9.0,30.0,High
479,37,Borno,2021,139,5,0.036,139,,7.0200000000000005,27.95142857142857,71.67857142857143,-6.382000000000001,-0.8383068733336108,0,0,55.38,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,37,37,37,1,7,0,2021-09-13,9,3,1,106.0,179.0,30.0,,1.0,0.0094,13.0,0.0726,4.0,0.1333,95.5,57.714285714285715,5.5,0.06875,iqr_trimmed_quantiles,9.0,30.0,High
467,38,Borno,2021,45,0,0.0,45,,18.430000000000003,27.768571428571427,68.61,6.654000000000004,1.1085885128827158,0,0,60.7,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,38,38,38,1,7,0,2021-09-20,9,3,1,139.0,106.0,67.0,11.0,5.0,0.036,1.0,0.0094,4.0,0.0597,122.75,67.875,5.75,0.044425,iqr_trimmed_quantiles,9.0,30.0,High
438,41,Borno,2021,71,3,0.0423,71,,2.59,28.474285714285717,50.17285714285714,0.752,0.5093922771978477,0,0,33.81,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,41,41,41,1,7,2,2021-10-11,10,4,1,45.0,139.0,179.0,4.0,0.0,0.0,5.0,0.036,13.0,0.0726,117.25,72.125,4.75,0.0295,iqr_trimmed_quantiles,9.0,30.0,High
417,43,Borno,2021,210,3,0.0143,210,,0.02,28.622857142857143,36.62571428571429,0.004,0.153392997769474,0,0,10.41,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,43,43,43,1,7,1,2021-10-25,10,4,1,71.0,45.0,106.0,7.0,3.0,0.0423,0.0,0.0,1.0,0.0094,90.25,80.5,2.25,0.021925,iqr_trimmed_quantiles,9.0,30.0,High
408,44,Borno,2021,32,2,0.0625,32,,0.0,29.434285714285718,32.98428571428572,-0.002,-0.4472135954999579,0,0,5.279999999999999,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,44,44,44,1,7,0,2021-11-01,11,4,0,210.0,71.0,139.0,30.0,3.0,0.0143,3.0,0.0423,5.0,0.036,116.25,105.875,2.75,0.023149999999999997,iqr_trimmed_quantiles,9.0,30.0,High
377,48,Borno,2021,78,0,0.0,78,,0.0,26.545714285714286,22.13142857142857,0.0,0.0,0,0,0.0,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,48,48,48,1,7,3,2021-11-29,11,4,0,32.0,210.0,45.0,67.0,2.0,0.0625,3.0,0.0143,0.0,0.0,89.5,106.125,2.0,0.029775,iqr_trimmed_quantiles,9.0,30.0,High
359,50,Borno,2021,42,0,0.0,42,,0.0,24.037142857142857,23.705714285714286,0.0,0.0,0,0,0.0,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,50,50,50,1,7,1,2021-12-13,12,4,0,78.0,32.0,71.0,179.0,0.0,0.0,2.0,0.0625,3.0,0.0423,97.75,107.5,2.0,0.029775,iqr_trimmed_quantiles,9.0,30.0,High
351,51,Borno,2021,196,0,0.0,196,,0.0,23.505714285714284,20.992857142857144,0.0,0.0,0,0,0.0,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,51,51,51,1,7,0,2021-12-20,12,4,0,42.0,78.0,210.0,106.0,0.0,0.0,0.0,0.0,3.0,0.0143,90.5,90.375,1.25,0.019200000000000002,iqr_trimmed_quantiles,9.0,30.0,High
345,52,Borno,2021,6,0,0.0,6,,0.0,23.452857142857145,22.06857142857143,0.0,0.0,0,0,0.0,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,804.0,27.0,679.0,52,52,52,1,7,0,2021-12-27,12,4,0,196.0,42.0,32.0,139.0,0.0,0.0,0.0,0.0,2.0,0.0625,87.0,101.625,0.5,0.015625,iqr_trimmed_quantiles,9.0,30.0,Low
332,17,Borno,2022,91,11,0.1209,91,,2.5999999999999996,27.92512605042017,18.769159663865548,0.08823529411764706,0.1825869425926714,0,0,0.2482352941176471,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,01-17,1,17,17,7,0,2022-04-25,4,2,1,6.0,196.0,78.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,85.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
311,26,Borno,2022,2,0,0.0,2,,64.08,31.229142857142858,50.97285714285714,0.8819999999999997,0.21781133399731017,0,0,35.474000000000004,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,22-26,22,26,5,7,4,2022-06-27,6,2,1,91.0,6.0,42.0,71.0,11.0,0.1209,0.0,0.0,0.0,0.0,83.75,90.75,2.75,0.030225,iqr_trimmed_quantiles,9.0,30.0,Low
296,30,Borno,2022,160,9,0.0563,160,,98.32,28.673928571428572,65.0182142857143,-9.445000000000002,-0.07585990908223944,1,1,94.515,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,27-30,27,30,4,7,0,2022-07-25,7,3,1,2.0,91.0,196.0,210.0,0.0,0.0,11.0,0.1209,0.0,0.0,73.75,82.125,2.75,0.030225,iqr_trimmed_quantiles,9.0,30.0,High
277,35,Borno,2022,333,2,0.006,333,,229.48,26.305999999999994,77.02085714285715,9.725999999999999,0.5461773188136535,1,1,149.13,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,31-35,31,35,5,7,0,2022-08-29,8,3,1,160.0,2.0,6.0,32.0,9.0,0.0563,0.0,0.0,0.0,0.0,64.75,75.875,5.0,0.0443,iqr_trimmed_quantiles,9.0,30.0,High
280,35,Borno,2022,160,0,0.0,160,,229.48,26.305999999999994,77.02085714285715,9.725999999999999,0.5461773188136535,1,1,149.13,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,31-35,31,35,5,7,0,2022-08-29,8,3,1,333.0,160.0,91.0,78.0,2.0,0.006,9.0,0.0563,11.0,0.1209,146.5,113.5,5.5,0.0458,iqr_trimmed_quantiles,9.0,30.0,High
267,39,Borno,2022,2626,20,0.0076,2626,,67.99,27.202142857142857,73.88678571428571,0.8810000000000008,0.19542846449161116,0,0,119.64000000000001,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,36-39,36,39,4,7,0,2022-09-26,9,3,1,160.0,333.0,2.0,42.0,0.0,0.0,2.0,0.006,0.0,0.0,163.75,123.75,2.75,0.015575,iqr_trimmed_quantiles,9.0,30.0,High
260,43,Borno,2022,4920,50,0.0102,4920,,2.41,27.700714285714287,51.5475,-2.3905000000000003,-0.8759896985318241,0,0,22.255,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,40-43,40,43,4,7,0,2022-10-24,10,4,1,2626.0,160.0,160.0,196.0,20.0,0.0076,0.0,0.0,9.0,0.0563,819.75,446.75,7.75,0.017475,iqr_trimmed_quantiles,9.0,30.0,High
254,47,Borno,2022,1124,18,0.016,1124,,0.0,25.361071428571428,32.12321428571428,-0.0035,-0.223606797749979,0,0,0.12,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,44-47,44,47,4,7,0,2022-11-21,11,4,0,4920.0,2626.0,333.0,6.0,50.0,0.0102,20.0,0.0076,2.0,0.006,2009.75,1037.25,18.0,0.00595,iqr_trimmed_quantiles,9.0,30.0,High
250,52,Borno,2022,10,0,0.0,10,,0.0,23.06114285714286,26.904285714285713,0.0,0.0,0,0,0.0,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,804.0,27.0,679.0,48-52,48,52,5,7,0,2022-12-26,12,4,0,1124.0,4920.0,160.0,91.0,18.0,0.016,50.0,0.0102,0.0,0.0,2207.5,1177.0,22.0,0.008450000000000001,iqr_trimmed_quantiles,9.0,30.0,Medium
212,26,Borno,2023,5,0,0.0,5,,64.21000000000001,31.831428571428567,50.478857142857144,0.9080000000000009,0.08424417363358713,1,0,35.88,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,804.0,27.0,679.0,22-26,22,26,5,7,0,2023-06-26,6,2,1,10.0,1124.0,2626.0,2.0,0.0,0.0,18.0,0.016,20.0,0.0076,2170.0,1166.875,22.0,0.008450000000000001,iqr_trimmed_quantiles,9.0,30.0,Low
205,30,Borno,2023,2,0,0.0,2,,38.66,31.860357142857143,50.22428571428571,-24.36,-0.709983004916289,0,0,50.98,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,804.0,27.0,679.0,27-30,27,30,4,7,0,2023-07-24,7,3,1,5.0,10.0,4920.0,160.0,0.0,0.0,0.0,0.0,50.0,0.0102,1514.75,1167.25,17.0,0.00655,iqr_trimmed_quantiles,9.0,30.0,Low
194,34,Borno,2023,2,2,1.0,2,,159.47000000000003,29.122500000000002,64.13178571428571,1.3139999999999992,0.0361669805888822,1,1,101.8075,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,804.0,27.0,679.0,31-34,31,34,4,7,0,2023-08-21,8,3,1,2.0,5.0,1124.0,333.0,0.0,0.0,0.0,0.0,18.0,0.016,285.25,1147.5,4.5,0.004,iqr_trimmed_quantiles,9.0,30.0,Low
49,39,Borno,2024,29,0,0.0,29,,16.59,27.89,72.50428571428571,4.508000000000001,1.3802872543884543,0,0,90.31,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,804.0,27.0,679.0,39,39,39,1,7,0,2024-09-23,9,3,1,2.0,2.0,10.0,160.0,2.0,1.0,0.0,0.0,0.0,0.0,4.75,1106.125,0.5,0.25,iqr_trimmed_quantiles,9.0,30.0,Medium
7,4,Borno,2025,1,0,0.0,1,,0.0,24.03142857142857,25.57035714285714,0.0,0.0,0,0,0.0,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,804.0,27.0,679.0,1-4,1,4,4,7,0,2025-01-20,1,1,0,29.0,2.0,5.0,2626.0,0.0,0.0,2.0,1.0,0.0,0.0,9.5,1089.75,0.5,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
35,9,Borno,2025,2,0,0.0,2,,0.0,27.595,17.295714285714286,-0.009999999999999974,-0.11180339887498948,0,0,0.0,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,804.0,27.0,679.0,6-9,6,9,4,7,1,2025-02-24,2,1,0,1.0,29.0,2.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,761.625,0.5,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
589,24,Cross River,2021,31,0,0.0,31,,392.32,26.617261904761904,85.33726190476189,4.702333333333335,0.24511488249112956,1,0,117.63083333333334,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1522.0,35.0,1371.0,13-24,13,24,12,8,0,2021-06-14,6,2,1,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,High
426,43,Cross River,2021,1,0,0.0,1,,19.35,25.93857142857143,86.24857142857142,2.4120000000000026,0.212757551672508,0,0,139.32000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1522.0,35.0,1371.0,43,43,43,1,8,18,2021-10-25,10,4,1,31.0,,,,0.0,0.0,,,,,31.0,31.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
412,44,Cross River,2021,3,2,0.6667,3,,35.19,25.518571428571427,88.85857142857142,15.965999999999998,1.5002182130836472,0,0,134.51000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1522.0,35.0,1371.0,44,44,44,1,8,0,2021-11-01,11,4,0,1.0,31.0,,,0.0,0.0,0.0,0.0,,,16.0,16.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
329,17,Cross River,2022,593,6,0.0101,593,,232.08999999999997,27.469831932773108,69.71596638655463,3.912039215686274,0.32443911660760677,0,0,42.30058823529413,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1522.0,35.0,1371.0,01-17,1,17,17,8,0,2022-04-25,4,2,1,3.0,1.0,,,2.0,0.6667,0.0,0.0,,,11.666666666666666,11.666666666666666,0.6666666666666666,0.2222333333333333,iqr_trimmed_quantiles,9.0,30.0,High
246,52,Cross River,2022,153,7,0.0458,153,,3.4299999999999997,25.451142857142862,74.00114285714285,-0.3832000000000001,-0.20745196736532287,0,0,4.422000000000029,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1522.0,35.0,1371.0,48-52,48,52,5,8,30,2022-12-26,12,4,0,593.0,3.0,31.0,,6.0,0.0101,2.0,0.6667,0.0,0.0,157.0,157.0,2.0,0.1692,iqr_trimmed_quantiles,9.0,30.0,High
236,4,Cross River,2023,242,7,0.0289,242,,2.2199999999999998,26.276428571428568,73.75142857142856,-0.8223333333333334,0.0316094943985909,0,0,1.4100000000000283,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1522.0,35.0,1371.0,1-4,1,4,4,8,0,2023-01-23,1,1,0,153.0,593.0,1.0,,7.0,0.0458,6.0,0.0101,0.0,0.0,187.5,156.2,3.75,0.18064999999999998,iqr_trimmed_quantiles,9.0,30.0,High
230,9,Cross River,2023,397,9,0.0227,397,,19.990000000000002,27.43428571428571,72.49714285714285,1.7124,0.8879989417683666,0,0,9.728000000000028,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1522.0,35.0,1371.0,5-9,5,9,5,8,0,2023-02-27,2,1,0,242.0,153.0,3.0,,7.0,0.0289,7.0,0.0458,2.0,0.6667,247.75,170.5,5.5,0.187875,iqr_trimmed_quantiles,9.0,30.0,High
226,13,Cross River,2023,61,0,0.0,61,,45.53,26.924642857142857,79.84035714285714,1.470499999999999,0.6831650046049369,0,0,38.39250000000003,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1522.0,35.0,1371.0,10-13,10,13,4,8,0,2023-03-27,3,1,0,397.0,242.0,593.0,,9.0,0.0227,7.0,0.0289,6.0,0.0101,346.25,202.85714285714286,7.25,0.026875,iqr_trimmed_quantiles,9.0,30.0,High
221,17,Cross River,2023,3,0,0.0,3,,55.96000000000001,27.279285714285713,83.1282142857143,-13.260000000000002,-0.8361684585617593,0,0,54.77250000000002,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1522.0,35.0,1371.0,14-17,14,17,4,8,0,2023-04-24,4,2,1,61.0,397.0,153.0,31.0,0.0,0.0,9.0,0.0227,7.0,0.0458,213.25,185.125,5.75,0.02435,iqr_trimmed_quantiles,9.0,30.0,Low
165,4,Cross River,2024,9,0,0.0,9,,0.02,26.66714285714286,52.28142857142858,-0.638,-0.9016643399293628,0,0,0.0600000000000284,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1522.0,35.0,1371.0,4,4,4,1,8,0,2024-01-22,1,1,0,3.0,61.0,242.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0289,175.75,181.625,4.0,0.0129,iqr_trimmed_quantiles,9.0,30.0,Medium
58,38,Cross River,2024,19,0,0.0,19,,10.93,25.762857142857143,86.57571428571428,-30.46,-0.7398868183937489,0,0,42.690000000000055,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1522.0,35.0,1371.0,38,38,38,1,8,33,2024-09-16,9,3,1,9.0,3.0,397.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0227,117.5,182.625,2.25,0.005675,iqr_trimmed_quantiles,9.0,30.0,Medium
599,12,Delta,2021,427,22,0.0515,427,,255.91,26.603690476190476,86.65071428571429,5.303833333333334,0.3727087823679414,0,0,67.43,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1059.0,43.0,874.0,1-12,1,12,12,9,0,2021-03-22,3,1,0,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,High
588,24,Delta,2021,156,10,0.0641,156,,878.79,26.432976190476193,91.74523809523811,18.404999999999998,0.33882240060400015,1,1,258.95750000000004,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1059.0,43.0,874.0,13-24,13,24,12,9,0,2021-06-14,6,2,1,427.0,,,,22.0,0.0515,,,,,427.0,427.0,22.0,0.0515,iqr_trimmed_quantiles,9.0,30.0,High
182,47,Delta,2023,12,2,0.1667,12,,179.38,26.592857142857145,91.21357142857144,-0.39249999999999646,0.21540202204069944,1,0,185.255,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1059.0,43.0,874.0,44-47,44,47,4,9,0,2023-11-20,11,4,0,156.0,427.0,,,10.0,0.0641,22.0,0.0515,,,291.5,291.5,16.0,0.057800000000000004,iqr_trimmed_quantiles,9.0,30.0,Medium
174,51,Delta,2023,3,2,0.6667,3,,18.27,26.620357142857145,84.02142857142857,-7.5625,-0.14875636752834948,0,0,52.56250000000001,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1059.0,43.0,874.0,48-51,48,51,4,9,0,2023-12-18,12,4,0,12.0,156.0,,,2.0,0.1667,10.0,0.0641,,,198.33333333333334,198.33333333333334,11.333333333333334,0.0941,iqr_trimmed_quantiles,9.0,30.0,Low
59,38,Delta,2024,13,0,0.0,13,,48.0,25.87142857142857,90.75428571428571,-32.97200000000001,-1.031344698306793,0,0,209.40000000000003,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1059.0,43.0,874.0,38,38,38,1,9,0,2024-09-16,9,3,1,3.0,12.0,427.0,,2.0,0.6667,2.0,0.1667,22.0,0.0515,149.5,149.5,9.0,0.23725,iqr_trimmed_quantiles,9.0,30.0,Medium
8,4,Delta,2025,4,1,0.25,4,,0.52,26.761071428571427,83.87178571428572,-13.724499999999999,-0.7594023722291426,0,0,0.1725000000000284,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1059.0,43.0,874.0,1-4,1,4,4,9,0,2025-01-20,1,1,0,13.0,3.0,156.0,,0.0,0.0,2.0,0.6667,10.0,0.0641,46.0,122.2,3.5,0.224375,iqr_trimmed_quantiles,9.0,30.0,Low
26,5,Delta,2025,1,0,0.0,1,,1.67,27.232857142857146,84.43571428571428,0.2179999999999999,0.1506471417214371,0,0,2.1900000000000284,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1059.0,43.0,874.0,5,5,5,1,9,0,2025-01-27,1,1,0,4.0,13.0,12.0,,1.0,0.25,0.0,0.0,2.0,0.1667,8.0,102.5,1.25,0.27085,iqr_trimmed_quantiles,9.0,30.0,Low
36,9,Delta,2025,28,4,0.1429,28,,67.86,27.564999999999998,86.50357142857143,4.5,-0.02151638122996495,0,0,30.62500000000003,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1059.0,43.0,874.0,6-9,6,9,4,9,0,2025-02-24,2,1,0,1.0,4.0,3.0,,0.0,0.0,1.0,0.25,2.0,0.6667,5.25,88.0,0.75,0.229175,iqr_trimmed_quantiles,9.0,30.0,Medium
456,39,Ebonyi,2021,26,1,0.0385,26,,14.49,25.67,87.92857142857143,-7.450000000000001,-0.4453412448726249,0,0,95.67,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1243.0,32.0,1103.0,39,39,39,1,10,0,2021-09-27,9,3,1,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,Medium
237,4,Ebonyi,2023,86,5,0.0581,86,,1.1,27.03392857142857,54.58928571428571,-0.5326666666666666,0.04272480458397815,0,0,0.7025000000000284,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1243.0,32.0,1103.0,1-4,1,4,4,10,0,2023-01-23,1,1,0,26.0,,,,1.0,0.0385,,,,,26.0,26.0,1.0,0.0385,iqr_trimmed_quantiles,9.0,30.0,High
232,9,Ebonyi,2023,11,1,0.0909,11,,12.3,28.37057142857143,57.518571428571434,1.0547999999999997,0.874463670607593,0,0,5.198000000000028,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1243.0,32.0,1103.0,5-9,5,9,5,10,0,2023-02-27,2,1,0,86.0,26.0,,,5.0,0.0581,1.0,0.0385,,,56.0,56.0,3.0,0.048299999999999996,iqr_trimmed_quantiles,9.0,30.0,Medium
227,13,Ebonyi,2023,2,1,0.5,2,,25.069999999999997,28.054642857142852,73.19142857142857,0.24099999999999988,0.5117927021668187,0,0,23.432500000000026,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1243.0,32.0,1103.0,10-13,10,13,4,10,0,2023-03-27,3,1,0,11.0,86.0,,,1.0,0.0909,5.0,0.0581,,,41.0,41.0,2.3333333333333335,0.0625,iqr_trimmed_quantiles,9.0,30.0,Low
166,52,Ebonyi,2023,9,0,0.0,9,,0.0,28.46,38.69571428571429,-1.124,-0.4614438788275835,0,0,0.3100000000000285,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1243.0,32.0,1103.0,52,52,52,1,10,38,2023-12-25,12,4,0,2.0,11.0,26.0,,1.0,0.5,1.0,0.0909,1.0,0.0385,31.25,31.25,2.0,0.171875,iqr_trimmed_quantiles,9.0,30.0,Medium
